Jurisdiction,Native forest ('000 hectares),Commercial plantation ('000 hectares),Other forest ('000 hectares),Total forest ('000 hectares),Native forest burnt ('000 hectares),Commercial plantation burnt ('000 hectares),Other forest burnt ('000 hectares),Total forest burnt ('000 hectares),Proportion of Native forest burnt (%),Proportion of Commercial plantation burnt (%),Proportion of Other forest burnt (%),Proportion of Total forest burnt (%)
Australian Capital Territory,130,7,5,142,83,0,0,83,64,0.2,2.7,58
New South Wales,19925,380,62,20368,5014,92,16,5122,25,24,26,25
Northern Territory,23686,45,4,23735,0,0,0,0,0.0,0.0,0.0,0.0
Queensland,51580,229,21,51830,367,3,0,370,0.7,1.5,1.0,0.7
South Australia,4856,178,25,5060,118,17,2,137,2.4,10,7.9,2.7
Tasmania,3342,311,46,3699,27,3,0,29,0.8,0.8,0.4,0.8
Victoria,7645,415,162,8222,1444,10,3,1457,19,2.4,2.0,18
Western Australia,20450,383,148,20981,1138,4,0,1143,5.6,1.2,0.2,5.4
Total,131615,1949,474,134037,8190,129,22,8341,6.2,6.6,4.6,6.2
